	categories_list
Gintama (2012)	[Action, Comedy, Drama, SciFi, Aliens, BasedonaManga, Crude, FeudalJapan, Parody, Samurai, Swordplay]
Gintama (2015)	[Action, Comedy, Drama, SciFi, Aliens, BasedonaManga, Crude, FeudalJapan, Parody, Samurai, Swordplay]
Gintama The Movie: The Final Chapter: Be Forever Yorozuya	[Action, Comedy, Drama, SciFi, Aliens, BasedonaManga, FeudalJapan, Samurai, Swordplay, TimeTravel]
Gintama x Mameshiba	[Comedy, Crossover, Parody]
Gintama'	[Action, Comedy, Drama, SciFi, Aliens, BasedonaManga, Crude, FeudalJapan, Parody, Samurai, Swordplay]
Gintama: Dai Hanseikai	[Action, Comedy, SciFi, Aliens, FeudalJapan, Samurai]
Gintama: Jump Festa 2005	[Action, Comedy, SciFi, Aliens, BasedonaManga, Crude, FeudalJapan, Parody, Samurai]
Gintama: Jump Festa 2008	[Action, Comedy, SciFi, Aliens, Crude, FeudalJapan, Parody, Samurai, Shorts, Swordplay, Violence]
Gintama: Jump Festa 2014	[Comedy, BasedonaManga, Parody]
Gintama: Jump Festa 2015	[Comedy, SciFi, Aliens, BasedonaManga, Parody, Samurai, Shorts]
Gintama: Shinyaku Benizakura-hen	[Action, Comedy, Drama, SciFi, Aliens, BasedonaManga, FeudalJapan, Recap, Samurai, Swordplay]
Gintama: Shinyaku Benizakura-hen Special	[Comedy, SciFi, Aliens, FeudalJapan, Parody, Samurai]
Gintama: Yorinuki Gintama-san on Theater 2D	[Action, Comedy, Drama, SciFi, Aliens, BasedonaManga, Crude, FeudalJapan, Parody, Samurai, Swordplay]
Giovanni's Island	[Drama, Historical, WorldWar2]
Girl	[Ecchi, Fantasy, JapanAnimator'sExhibition, Shorts]
Girl Friend BETA	[SliceofLife, BasedonaVideoGame, SchoolLife]
Girl from Phantasia	[Fantasy, Romance, BasedonaManga, Magic, SuddenGirlfriendAppearance]
Girls Bravo	[Comedy, Ecchi, Fantasy, Harem, Romance, BasedonaManga, Gynophobia, Nudity, PersoninaStrangeWorld, SchoolLife]
Girls Bravo: Second Season	[Comedy, Ecchi, Fantasy, Harem, Romance, BasedonaManga, Gynophobia, Nudity, PersoninaStrangeWorld, SchoolLife]
Girls und Panzer	[Action, Military, MilitarySchool, OriginalWork, SchoolClub, SchoolLife, Tournaments]
Girls und Panzer Movie	[Action, Military, MilitarySchool, SchoolClub]
Girls und Panzer Recaps	[Recap]
Girls und Panzer Specials	[]
Girls und Panzer: Fushou - Akiyama Yukari no Sensha Kouza	[]
Girls und Panzer: Kore ga Hontou no Anzio-sen Desu!	[Action, SchoolLife]
Girls' Work	[]
Gisoku no Moses	[Shorts]
Glass Fleet	[Action, Adventure, SciFi, OriginalWork, OuterSpace, Political]
Glass Fleet Specials	[SciFi, OuterSpace]
Glass Mask	[Drama, Romance, Shoujo, BasedonaManga, Idols, WorkLife]
Glass Mask (2005)	[Drama, Romance, Shoujo, BasedonaManga, Idols, WorkLife]
Glass Mask OVA	[Drama, Shoujo, BasedonaManga, Idols]
Glass no Hana to Kowasu Sekai	[SciFi]
Glass no Kamen Desu ga	[WorkLife]
Glass no Kamen Desu ga the Movie: Onna Spy no Koi! Murasaki no Bara wa Kiken na Kaori!?	[]
Glass no Usagi	[]
Glasslip	[Drama, Romance, SliceofLife, ComingofAge, OriginalWork, Supernatural]
Glassy Ocean	[Adventure, Fantasy, Shorts]
Glay: Survival	[Psychological]
Go Around	[]
Go! Go! 575	[SliceofLife, BasedonaVideoGame]
Go! Go! 575: Meippai ni, Hajiketeru?	[SliceofLife, BasedonaVideoGame]
Go! Go! Itsutsugo Land	[]
Go! Go! Kadendanshi	[]
Go! Princess Pretty Cure	[Action, MagicalGirl, Shoujo, FamilyFriendly, Magic, Monster-of-the-week]
Go! Princess Pretty Cure Movie: Go! Go!! Grand 3-Part Movie!!!	[Fantasy, MagicalGirl, Magic]
Go-Go Tamagotchi!	[FamilyFriendly]
GoShogun: The Time Etranger	[Action, SciFi, Violence]
Goara	[AnimalProtagonists, Shorts]
God Bless Dancougar	[]
God Eater	[Action, SciFi, BasedonaVideoGame, CGAnimation, ExplicitViolence, Monsters, Post-apocalyptic, Swordplay]
God Mazinger	[]
Godannar	[Action, Ecchi, Mecha, Romance, SciFi, Aliens, Post-apocalyptic]
Godannar 2nd Season	[Action, Ecchi, Mecha, Romance, SciFi, Aliens, Post-apocalyptic]
Goddamn	[Racing]
Gods Eater Burst Prologue	[Action, Fantasy, BasedonaVideoGame, Violence]
Gokicha!! Cockroach Girls	[Comedy, BasedonaManga, Insects]
Gokinjo Monogatari	[Comedy, Drama, Romance, Shoujo, Fashion, LoveTriangle, SchoolLife]
Gokinjo Monogatari Movie	[Drama, Romance, Shoujo, Fashion, LoveTriangle]
Goku II: Midnight Eye	[Action, SciFi]
Goku Sayonara Zetsubou Sensei	[Comedy, SliceofLife, Parody, Suicide]
Goku no Daibouken	[]
Goku: Midnight Eye	[Action, SciFi]
Gokudo	[Adventure, Comedy, Fantasy, Magic]
Gokujo. Gokurakuin Joshikou Ryou Monogatari	[Comedy, Ecchi, BasedonaManga, Nudity, SchoolLife]
Gokujo. Gokurakuin Joshikou Ryou Monogatari: Souda Onsen ni Ikou!!	[]
Gokujou!! Mecha Mote Iinchou	[Comedy, Romance, Shoujo, BasedonaManga, SchoolLife]
Gokujou!! Mecha Mote Iinchou Second Collection	[Comedy, Romance, Shoujo, BasedonaManga, SchoolLife]
Gokusen	[Comedy, Josei, BasedonaManga, Delinquents, SchoolLife]
Gokyoudai Monogatari	[Comedy, SliceofLife, BasedonaManga]
Golden Boy	[Comedy, Ecchi, BasedonaManga, Episodic, ExplicitSex, WorkLife]
Golden Brave Goldran	[Mecha]
Golden Kids	[Sports, Soccer]
Golden Time	[Comedy, Drama, Romance, BasedonaLightNovel, ComingofAge, LoveTriangle, SchoolLife]
Golden Warrior: The Gold Lightan	[Action, Mecha, SciFi]
Goldfish Fetish	[Shorts]
Goldfish Warning!	[Comedy, FamilyFriendly]
Goldfish Warning! Movie	[Comedy, FamilyFriendly]
Golgo 13 TV	[Action, Assassins, BasedonaManga, Episodic, Gunfights, SexualContent, Violence]
Golgo 13: Queen Bee	[Action, Assassins, MatureThemes, Nudity, Violence]
Golgo 13: The Professional	[Action, Assassins, Nudity, Violence]
Gon	[Adventure, Comedy, Seinen, AnimalProtagonists, BasedonaManga, CGAnimation, Dinosaurs, FamilyFriendly]
Gon 2nd Season	[Adventure, Comedy, Seinen, AnimalProtagonists, BasedonaManga, CGAnimation, Dinosaurs, FamilyFriendly]
Gonna be the Twin-Tails!!	[Action, Comedy, Ecchi, BasedonaLightNovel, GenderBender, Parody, Superpowers]
Good Morning Althea	[Action, SciFi]
Good Morning Call	[Drama, Romance, BasedonaManga, SchoolLife]
Good Witch of the West - Astraea Testament	[Action, Adventure, Drama, Fantasy, Romance, BasedonaNovel]
Good-by Marilyn	[Shorts]
Good-bye Elvis and USA	[Nudity, Shorts]
Gosenzo-sama Banbanzai!	[SciFi, Abstract, Incest, TimeTravel]
Goshuushou-sama Ninomiya-kun	[Comedy, Ecchi, Harem, Romance, BasedonaLightNovel]
Gosick	[Mystery, BasedonaLightNovel, Detectives, Europe, Violence]
Gosick Recap	[Recap]
Gothicmade: Hana no Utame	[]
Goulart Knights Evoked The Beginning Black	[]
Gourmet Girl Graffiti	[SliceofLife, BasedonaManga, FoodandBeverage]
Government Crime Investigation Agent Zaizen Jotaro	[Action, BasedonaManga, Political]
Gowapper 5 Godam	[]
Graduation	[]
Graduation M	[]
Granblue Fantasy	[Fantasy, BasedonaVideoGame]
Grandeek	[Action, Adventure, Fantasy, BasedonaManga, Magic, Swordplay]
Grander Musashi	[Sports]
Grander Musashi RV	[Sports]
Grappler Baki	[HandtoHandCombat]
Grappler Baki 2	[HandtoHandCombat]
Grappler Baki: The Ultimate Fighter	[HandtoHandCombat, MartialArts]
Grave of the Fireflies	[Drama, Historical, WorldWar2]
Gravion	[SciFi]
Gravion Zwei	[SciFi]
Gravitation	[Romance, Shounen-ai, BasedonaManga, LGBTThemes, Music, RockMusic, SexualAbuse, SexualContent]
Gravitation OVA	[Romance, Shounen-ai, BasedonaManga, Music, RockMusic]
Great Conquest: The Romance of the Three Kingdoms	[Action, Adventure, BasedonaNovel, Historical, Political, RomanceoftheThreeKingdoms, War]
Great Dangaioh	[]
Great Mazinger	[Mecha]
Great Mazinger vs Getter Robo	[Action, Mecha, Crossover]
Great Mazinger vs Getter Robo G: The Great Space Encounter	[Mecha, SciFi, Crossover]
Great Teacher Onizuka	[Comedy, SchoolLife, WorkLife]
Greed	[]
Green Green	[Comedy, Ecchi, Romance, BasedonanEroge, BasedonaVisualNovel, SchoolLife]
Green Green OVA	[Comedy, Ecchi, Romance, PantyShots]
Green Green Thirteen: Erolutions	[Comedy, Ecchi, SexualContent]
Green Legend Ran	[Post-apocalyptic, Revenge, Survival]
Gregory Horror Show	[Horror, Supernatural]
Grenadier	[Action, Adventure, Ecchi, Episodic, Gunfights, Western]
Grenadier Specials	[Comedy, Ecchi, BasedonaManga, Gunfights, Omake, Western]
Grendizer, Getter Robo G, Great Mazinger: Kessen! Daikaijuu!	[Action, Mecha, SciFi, Crossover]
Grey: Digital Target	[SciFi, HighStakesGames, Post-apocalyptic]
Grimm's Fairy Tale Classics	[Fantasy, BasedonaFairyTale, FamilyFriendly]
Groizer X	[]
Groove Adventure Rave	[Action, Adventure, Comedy, Fantasy, Shounen, BasedonaManga]
Growing Up With Hello Kitty	[AnimalProtagonists, FamilyFriendly]
Growlanser IV Wayfarer of the Time	[Action, Fantasy, BasedonaVideoGame, RPG]
Grrl Power!	[FamilyFriendly]
Gu-Gu Ganmo	[]
Guardian Hearts	[Ecchi, Fantasy, Harem, Romance, BasedonaManga]
Guardian Hearts Power UP!	[Action, Ecchi, Fantasy, Harem, Romance, BasedonaManga, Magic]
Guardian of Darkness	[SciFi, OriginalWork, Supernatural]
Gude Crest - The Emblem of Gude	[]
Gudetama	[FoodandBeverage, FoodProtagonists]
Gugure! Kokkuri-san	[Comedy, BasedonaManga, JapaneseMythology, Supernatural]
Gugure! Kokkuri-san Specials	[Comedy, BasedonaManga, JapaneseMythology, Supernatural]
Guilty Crown	[Action, Mecha, SciFi, noitaminA, OriginalWork, Terrorism]
Guilty Crown Kiseki: Reassortment	[Action, Mecha, SciFi, noitaminA, OriginalWork, Recap]
Guilty Crown: Lost Christmas	[]
Guin Saga	[Action, Adventure, Fantasy, BasedonaNovel, Magic, Medieval]
Guitar	[Shorts]
Guitar o Motta Shounen: Kikaider vs. Inazuman	[SciFi]
Gulliver Funtouki	[BlackandWhite, JapaneseAnimeClassicCollection, Shorts]
Gulliver no Uchuu Ryokou	[Adventure, SciFi, FamilyFriendly, OuterSpace]
Gun Frontier	[BasedonaManga, Western]
Gun x Sword	[Action, Adventure, Mecha, SciFi, Episodic, Gunfights, OriginalWork, Violence, Western]
Gun x Sword-san	[]
Gun-dou Musashi	[Action, Fantasy, FeudalJapan, OriginalWork, Samurai]
Gunbuster	[Ecchi, Mecha, SciFi, Nudity, OriginalWork, OuterSpace]
Gunbuster 2	[Mecha, SciFi, Aliens, Androids, Nudity, OriginalWork, OuterSpace, Robots]
Gunbuster 2 Movie	[Mecha, SciFi, Aliens, Androids, OuterSpace, Robots]
Gunbuster 2: Science Lessons	[OriginalWork]
Gunbuster Movie	[Mecha, SciFi, Nudity, OuterSpace, Recap]
Gunbuster Renewal EX	[]
Gunbuster: Science Lessons	[Omake, OriginalWork]
Gunbuster: Science Lessons Return	[OriginalWork]
Gundam Build Fighters	[Action, Mecha, Tournaments]
Gundam Build Fighters OVA	[Mecha, SciFi]
Gundam Build Fighters Try	[Action, Mecha, Tournaments]
Gundam Build Fighters Try OVA	[Mecha, SciFi]
Gundam Build Fighters: SD Kishi Fighters	[Chibi]
Gundam Evolve	[Action, Mecha, SciFi, Collections]
Gundam Neo Experience 0087: Green Divers	[Mecha, SciFi]
Gundam SEED CE73 Stargazer	[Mecha, SciFi, OuterSpace, Violence]
Gundam SEED Character Theater	[Comedy, Chibi, Omake, Parody]
Gundam Wing	[Action, Mecha, SciFi, OuterSpace, Political, Terrorism, War]
Gundam Wing: Endless Waltz	[Action, Mecha, OuterSpace]
Gundam Wing: Endless Waltz Movie	[Mecha, SciFi]
Gundam: G no Reconguista	[Action, Drama, Mecha, SciFi, OriginalWork, Political]
Gundam: Mission To The Rise	[Action, Mecha, SciFi, OuterSpace, Shorts]
Gundress	[Action, SciFi]
Gungrave	[Action, Assassins, BasedonaVideoGame, Mercenaries, Superpowers, Violence]
Gunparade March	[Mecha, Romance, SciFi, Aliens, BasedonaVideoGame, Insects]
Gunparade Orchestra	[Mecha, BasedonaVideoGame]
Gunparade Orchestra: Ao no Shou - Hikari no Umi kara Tegami o Okurimasu	[]
Gunslinger Girl	[Action, Assassins, BasedonaManga, Cyborgs, Europe, Gunfights]
Gunslinger Girl: Il Teatrino	[Action, SciFi, Assassins, BasedonaManga, Cyborgs, Europe, Gunfights]
Gunslinger Girl: Il Teatrino OVA	[]
Gunslinger Stratos: The Animation	[Action, SciFi, BasedonaVideoGame, Gunfights]
Gunsmith Cats	[Action, America, BasedonaManga, BountyHunters, Gunfights]
Guskou Budori no Denki	[]
Guskou Budori no Denki (2012)	[Adventure]
Guyver - The Bioboosted Armor (2005)	[Action, SciFi, BasedonaManga, Superpowers]
Guyver: Out of Control	[Action, SciFi, BasedonaManga]
Gyakuten Ippatsu-man	[]
Gyo	[Horror, BasedonaManga, Survival, Zombies]
H.P. Lovecraft's Dunwich Horror and Other Stories	[Horror, Ga-nime]
H2	[Drama, Shounen, Sports, Baseball, BasedonaManga]
H2O ~Footprints in the Sand~	[Drama, Romance, SliceofLife, BasedonanEroge, BasedonaVisualNovel, Bullying, PhysicalAbuse, Psychological, SchoolLife]
HENNEKO - The Hentai Prince and the Stony Cat	[Comedy, Drama, Fantasy, Romance, SchoolLife]
HENNEKO - The Hentai Prince and the Stony Cat Specials	[]
Hachioji-P: Dream Creator	[Vocaloid]
Hachioji-P: Fake Doll	[Vocaloid]
Hachioji-P: GAME OVER	[Vocaloid]
Hachioji-P: HORIZON	[Vocaloid]
Hacka Doll	[Promotional]
Hacka Doll the Animation	[Comedy, SciFi]
Hades Project Zeorymer	[Action, Mecha, SciFi, Nudity, Psychological]
Hagure Yuusha no Estetica	[Action, Ecchi, Fantasy, BasedonaLightNovel, Demons, SchoolLife, SexualContent, Superpowers]
Hagure Yuusha no Estetica Specials	[Comedy, Ecchi, BasedonaLightNovel, Demons]
Hai to Gensou no Grimgal	[Action, Adventure, Fantasy, BasedonaLightNovel, MMORPG]
Hai! Akko Desu	[]
Haibane Renmei	[Drama, Fantasy, SliceofLife, Angels, BasedonaDoujinshi]
Haifuri	[OriginalWork]
Haikara-san ga Tooru	[Drama, Romance, BasedonaManga, Historical]
Haikyuu!!	[Shounen, Sports, BasedonaManga, SchoolClub, SchoolLife, Tournaments]
Haikyuu!! Movie 1: Owari to Hajimari	[Shounen, Sports, BasedonaManga, Recap, SchoolLife, Tournaments]
Haikyuu!! Movie 2: Shousha to Haisha	[Shounen, Sports, BasedonaManga, Recap, SchoolLife, Tournaments]
Haikyuu!! Quest Picture Drama	[Fantasy, BasedonaManga, PictureDrama, RPG]
Haikyuu!! Second Season	[Sports, BasedonaManga, SchoolClub, SchoolLife]
Haikyuu!!: Jump Festa 2014 Special	[Sports, BasedonaManga]
Haikyuu!!: Jump Festa 2015 Special	[Shounen, Sports, BasedonaManga]
Hairy Tale	[Romance, Abstract, FeudalJapan, OriginalWork, Shorts]
Haitai Nanafa	[Comedy, Fantasy, SliceofLife, FamilyFriendly]
Haitai Nanafa 2	[Comedy, SliceofLife, FamilyFriendly]
Haiyore! Nyaruko-san	[Comedy, Harem, Romance, SciFi, Aliens, BasedonaLightNovel, Parody, Supernatural]
Haiyore! Nyaruko-san F	[Comedy, Fantasy, Harem, Romance, SciFi, Aliens, BasedonaLightNovel, Parody, Supernatural]
Haiyore! Nyaruko-san W	[Action, Comedy, Harem, Romance, SciFi, Aliens, BasedonaLightNovel, Parody, Supernatural]
Haiyore! Nyaruko-san W OVA	[Comedy, Fantasy, Harem, SciFi, SliceofLife, Aliens, BasedonaLightNovel, Parody, Supernatural]
Haiyore! Nyaruko-san: Yasashii Teki no Shitome-kata	[Comedy, Fantasy, MagicalGirl, Aliens, Magic, Parody, Supernatural]
Haiyoru! Nyaru-Ani	[Comedy, SliceofLife]
Haiyoru! Nyaru-ani: Remember My Love (craft-sensei) Special	[Comedy]
Haiyoru! Nyaru-ani: Remember My Love(craft-sensei)	[Comedy]
Hajime Ningen Gyatoruz	[]
Hajime no Ippo - Champion Road	[Sports, Boxing, HandtoHandCombat]
Hajime no Ippo - Mashiba vs Kimura	[Sports, Boxing, HandtoHandCombat]
Hajime no Ippo: New Challenger	[Action, Drama, Sports, BasedonaManga, Boxing, HandtoHandCombat, Tournaments]
Hajime no Ippo: Rising	[Action, Drama, Sports, BasedonaManga, Boxing, HandtoHandCombat]
Hajime no Ippo: The Fighting!	[Action, Drama, Shounen, Sports, BasedonaManga, Boxing, HandtoHandCombat]
Hajime no Ippo: The Fighting! Special	[Boxing, HandtoHandCombat]
Hakaba Kitaro	[Comedy, Horror, SliceofLife, JapaneseMythology, Monsters, noitaminA]
Hakkenden: Eight Dogs of the East	[Action, Fantasy, Supernatural]
Hakkenden: Eight Dogs of the East 2	[Action, Fantasy, Supernatural]
Hakugei - Legend of the Moby Dick	[SciFi, OuterSpace, Revenge]
Hakujaden	[Fantasy, Historical]
Hakuouki Hekketsuroku	[Drama, BasedonanOtomeGame, BasedonaVisualNovel, FeudalJapan, Historical, Samurai]
Hakuouki Hekketsuroku Episode 0	[Recap]
Hakuouki Movie 1: Kyoto Ranbu	[]
Hakuouki Movie 2: Shikon Soukyuu	[]
Hakuouki Reimeiroku	[Drama, BasedonanOtomeGame, BasedonaVisualNovel, FeudalJapan, Historical, Samurai]
Hakuouki Reimeiroku Tokuten Disc	[]
Hakuouki Sekkaroku	[Action, BasedonanOtomeGame, BasedonaVisualNovel, FeudalJapan, Historical, Samurai]
Hakuouki Shinsengumi Kitan	[Drama, ReverseHarem, BasedonanOtomeGame, BasedonaVisualNovel, FeudalJapan, Historical, Samurai]
Hakuouki Shinsengumi Kitan OVA	[]
Hakuouki: Otogisoushi	[Comedy, ReverseHarem, BasedonanOtomeGame, BasedonaVisualNovel, Chibi, FeudalJapan, Historical, Samurai]
Hakushon Daimaou	[Comedy, Fantasy, Magic, OriginalWork]
Hal	[Drama, Romance, SciFi, Androids, Robots]
Hal & Bons	[SliceofLife, AnimalProtagonists, StopMotionAnimation]
Halo Legends	[Action, SciFi, BasedonaVideoGame, Collections, Military]
Hamatora	[Action, Drama, Mystery, BasedonaManga, Superpowers]
Hamigaki no Uta	[Educational, FamilyFriendly]
Hammerhead	[SciFi, ExplicitViolence, JapanAnimator'sExhibition, Shorts]
Hamtaro	[Adventure, SliceofLife, AnimalProtagonists, FamilyFriendly]
Hamtaro Movie 1: Ham Ham Land no Daibouken	[Adventure, Fantasy, AnimalProtagonists, FamilyFriendly]
Hamtaro Movie 2: Ham Ham Ham~Jya! Maboroshi no Princess	[AnimalProtagonists, FamilyFriendly]
Hamtaro Movie 3: Ham Ham Gran Prix Aurora Tani no Kiseki: Ribbon-chan Kiki Ippatsu	[AnimalProtagonists, FamilyFriendly]
Hamtaro Movie 4: Hamtaro to Fushigi no Oni no Emon Tou	[AnimalProtagonists, FamilyFriendly]
Hamtaro OVA 1: Hamtaro's Birthday! 3000 Hammy Steps in Search of Mommy	[AnimalProtagonists, FamilyFriendly]
Hamtaro OVA 2: Ham-Hams Ahoy!	[AnimalProtagonists, FamilyFriendly]
Hamtaro OVA 3: Rainbow Rescue	[AnimalProtagonists, FamilyFriendly]
Hamtaro OVA 4: Ham-Ham Games	[AnimalProtagonists, FamilyFriendly]
Hana	[Comedy, Shorts]
Hana Hen	[Promotional]
Hana Kappa	[Fantasy, FamilyFriendly, JapaneseMythology]
Hana Yori Dango	[Comedy, Drama, Josei, ReverseHarem, Romance, BasedonaManga, SchoolLife]
Hana Yori Dango - The Movie	[Drama, Josei, Romance, Idols]
Hana no Hi	[Shorts]
Hana no Ko Lunlun	[Fantasy, MagicalGirl, Shoujo, Europe, FamilyFriendly, Magic]
Hana no Zundamaru	[AnimeBancho]
Hana no Zundamaru: Junk	[Comedy, AnimeBancho]
Hana to Alice: Satsujin Jiken	[Drama, Romance, BasedonaMovie]
Hana to Mogura	[Shorts, StopMotionAnimation]
Hana wa Saku	[SliceofLife]
Hana wa Saku: Touhoku ni Saku	[Fantasy]
Hana-Saku Iroha	[Drama, SliceofLife, ComingofAge, OriginalWork]
Hana-Saku Iroha: Home Sweet Home	[Drama, SliceofLife]
Hanada Shonen-shi	[Comedy, BasedonaManga, Crude, Supernatural]
Hanamaru Youchien	[Comedy, SliceofLife, BasedonaManga, FamilyFriendly, SchoolLife]
Hanamaru Youchien Special Preview	[Comedy]
Hanamaru Youchien: Panda Neko Taisou	[Comedy]
Hanamonogatari	[BasedonaLightNovel]
Hanaori	[FeudalJapan, Shorts, StopMotionAnimation]
Hanappe Bazooka	[Comedy, Seinen, Demons, ExplicitSex, Superpowers]
Hanasakeru Seishounen	[Drama, ReverseHarem, Romance, Shoujo, BasedonaManga, Political]
Hanaukyo Maid Tai OVA	[Comedy, Ecchi, Harem, BasedonaManga, Maids]
Hanaukyo Maid Team	[Comedy, Ecchi, Harem, BasedonaManga, Maids]
Hanaukyo Maid Team La Verite	[Comedy, Ecchi, Harem, BasedonaManga, Maids]
Hanayaka Nari, Waga Ichizoku	[ReverseHarem, Romance, Shoujo, BasedonanOtomeGame, BasedonaVisualNovel, Maids]
Hanayamata	[Comedy, Seinen, SliceofLife, BasedonaManga, SchoolLife]
Hanbun no Tsuki ga Noboru Sora	[Drama, Romance]
Hand Maid Mai	[Comedy, Ecchi, Maids]
Hand Maid May	[Comedy, Ecchi, Romance, SciFi, Androids, Maids, OriginalWork, Robots]
Hand Maid May Special	[Comedy, Ecchi, Androids, Robots]
Handsome Girl	[Comedy, Drama, Romance, Shoujo, BasedonaManga]
Handsome Kenya: Korekuraide Utau	[Music]
Handsome Kenya: Mushi no Tameiki	[Fantasy]
Handsome Kenya: Tooryanse	[]
Hangyodon: Hadaka no Ou-sama	[]
Hanoka	[SciFi, FlashAnimation, Military, OriginalWork, War]
Hanoka Special	[SciFi, FlashAnimation, Military, OriginalWork, Recap, War]
Hantsu x Trash	[Comedy, Ecchi, Sports, BasedonaManga, SchoolClub, SchoolLife, SexualContent]
Happening Star 	[Adventure, SciFi, OriginalWork]
Happiness Charge Pretty Cure!	[Action, MagicalGirl, Shoujo, FamilyFriendly, Magic, Monster-of-the-week]
Happiness Charge Pretty Cure! Movie: Ningyou no Kuni no Ballerina	[MagicalGirl, Shoujo, Magic]
Happiness!	[Harem, BasedonanEroge, BasedonaVisualNovel, Magic, SchoolLife]
Happiness! De-Lucks First Press Special	[Comedy, BasedonanEroge, BasedonaVisualNovel, GenderBender, SchoolLife]
Happy Birthday Inochi Kagayaku Toki	[Drama, EmotionalAbuse, PhysicalAbuse]
Happy Come Come	[Androids, AnimeMirai, Robots]
Happy Happy Clover	[AnimalProtagonists, BasedonaManga, FamilyFriendly]
Happy Kappy	[Fantasy, Shoujo, AnimalProtagonists, BasedonaManga, FamilyFriendly, Magic]
Happy Kappy Recap	[FamilyFriendly, Recap]
Happy Lesson	[Comedy, Harem]
Happy Lesson Advance	[Comedy, Harem]
Happy Lesson OVA	[Comedy, Harem, Romance, SchoolLife]
Happy Lesson Special	[]
Happy Lesson The Final	[Comedy, Harem]
Happy Seven	[Comedy, Fantasy, BasedonaLightNovel]
Happy World!	[Angels]
Harbor Light Monogatari - Fashion Lala Yori	[MagicalGirl, Shoujo, Fashion]
Hareluya II Boy	[HandtoHandCombat]
Harlock Saga	[SciFi, BasedonaManga, OuterSpace]
Harmagedon	[SciFi, PsychicPowers, Superpowers]
Harmagedon TV	[SciFi]
Harmonie	[AnimeMirai, OriginalWork]
Harmony	[SciFi, BasedonaNovel, Dystopia, noitaminA]
Haru no Ashioto The Movie: Ourin Dakkan	[Comedy, HandtoHandCombat, SchoolLife]
Haru no Uta	[Abstract, JapaneseAnimeClassicCollection, Music, Shorts]
Haru wa Kuru	[Adventure, Fantasy, Promotional, Shorts]
